institution_id,name,survey_year,designation,sanctioned_strength,in_position_direct,in_position_cas,no_of_phd_teachers
471,"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur",2015,Lecturer (Selection Grade),NA,0,0,NA
471,"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur",2015,ALL,193,181,12,96
505,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur",2015,Reader,NA,17,0,NA
505,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur",2015,Professor & Equivalent,NA,6,1,NA
505,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur",2015,Visiting Teacher,NA,59,0,NA
505,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur",2015,ALL,0,234,1,0
505,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur",2015,Lecturer,NA,100,0,NA
505,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur",2015,Vice-Chancellor,NA,1,0,NA
505,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur",2015,Ad hoc Teacher,NA,51,0,NA
365,"Utkal University of Culture, Bhubaneswar",2015,Vice-Chancellor,1,1,0,1
365,"Utkal University of Culture, Bhubaneswar",2015,Reader,8,8,0,8
365,"Utkal University of Culture, Bhubaneswar",2015,Visiting Teacher,106,106,0,95
365,"Utkal University of Culture, Bhubaneswar",2015,Lecturer,7,7,0,5
365,"Utkal University of Culture, Bhubaneswar",2015,Professor & Equivalent,2,2,0,2
365,"Utkal University of Culture, Bhubaneswar",2015,ALL,124,124,0,111
268,"Awadesh Pratap Singh University, Rewa",2015,Professor & Equivalent,17,2,20,22
268,"Awadesh Pratap Singh University, Rewa",2015,Associate Professor,21,0,4,4
268,"Awadesh Pratap Singh University, Rewa",2015,Assistant Professor,37,2,0,2
268,"Awadesh Pratap Singh University, Rewa",2015,Vice-Chancellor,1,1,0,1
268,"Awadesh Pratap Singh University, Rewa",2015,ALL,76,5,24,29
173,"O. P. Jindal Global University, Sonipat",2015,Assistant Professor,76,76,0,19
173,"O. P. Jindal Global University, Sonipat",2015,ALL,156,156,0,67
173,"O. P. Jindal Global University, Sonipat",2015,Associate Professor,35,35,0,28
173,"O. P. Jindal Global University, Sonipat",2015,Professor & Equivalent,19,19,0,19
173,"O. P. Jindal Global University, Sonipat",2015,Vice-Chancellor,1,1,0,1
173,"O. P. Jindal Global University, Sonipat",2015,Ad hoc Teacher,25,25,0,0
103,"Indian Law Institute, Bhagwandas Road, New Delhi",2015,Director,1,1,0,NA
103,"Indian Law Institute, Bhagwandas Road, New Delhi",2015,Professor & Equivalent,4,2,0,NA
103,"Indian Law Institute, Bhagwandas Road, New Delhi",2015,Associate Professor,5,1,0,NA
103,"Indian Law Institute, Bhagwandas Road, New Delhi",2015,Assistant Professor,10,9,0,NA
103,"Indian Law Institute, Bhagwandas Road, New Delhi",2015,ALL,20,13,0,0
122,Ahmedabad University,2015,Vice-Chancellor,NA,1,0,1
122,Ahmedabad University,2015,ALL,0,1,0,1
580,Presidency University,2015,Vice-Chancellor,1,1,0,1
580,Presidency University,2015,Professor & Equivalent,52,11,0,11
580,Presidency University,2015,Assistant Professor,254,135,0,117
580,Presidency University,2015,ALL,307,147,0,129
145,Navsari Agricultural University,2015,Assistant Professor,1,1,0,0
145,Navsari Agricultural University,2015,ALL,1,1,0,0
464,"Manonmaniam Sundaranar University, Tirunelveli",2015,Assistant Professor,NA,44,1,NA
464,"Manonmaniam Sundaranar University, Tirunelveli",2015,Pro-Vice-Chancellor,NA,1,0,NA
464,"Manonmaniam Sundaranar University, Tirunelveli",2015,Associate Professor,NA,12,3,NA
464,"Manonmaniam Sundaranar University, Tirunelveli",2015,Professor & Equivalent,NA,11,22,NA
464,"Manonmaniam Sundaranar University, Tirunelveli",2015,Vice-Chancellor,NA,1,0,NA
464,"Manonmaniam Sundaranar University, Tirunelveli",2015,ALL,0,71,26,0
464,"Manonmaniam Sundaranar University, Tirunelveli",2015,Reader,NA,2,0,NA
303,"Gokhale Institute of Politics & Economics, Pune",2015,Contract Teacher,NA,3,0,2
303,"Gokhale Institute of Politics & Economics, Pune",2015,Lecturer (Senior Scale),NA,1,1,2
303,"Gokhale Institute of Politics & Economics, Pune",2015,ALL,48,54,5,37
303,"Gokhale Institute of Politics & Economics, Pune",2015,Associate Professor,NA,0,3,3
303,"Gokhale Institute of Politics & Economics, Pune",2015,Lecturer,22,13,0,10
303,"Gokhale Institute of Politics & Economics, Pune",2015,Part-Time Teacher,NA,29,0,12
303,"Gokhale Institute of Politics & Economics, Pune",2015,Professor & Equivalent,11,1,0,1
303,"Gokhale Institute of Politics & Economics, Pune",2015,Reader,13,5,1,6
303,"Gokhale Institute of Politics & Economics, Pune",2015,Director,1,1,0,1
303,"Gokhale Institute of Politics & Economics, Pune",2015,Demonstrator,1,1,0,NA
138,"Hemchandracharya North Gujart University, Patan",2015,Ad hoc Teacher,NA,1,0,0
138,"Hemchandracharya North Gujart University, Patan",2015,Associate Professor,NA,3,6,9
138,"Hemchandracharya North Gujart University, Patan",2015,Assistant Professor,NA,37,0,8
138,"Hemchandracharya North Gujart University, Patan",2015,ALL,0,45,12,27
138,"Hemchandracharya North Gujart University, Patan",2015,Professor & Equivalent,NA,4,6,10
138,"Hemchandracharya North Gujart University, Patan",2015,Additional Professor,NA,0,0,0
636,BILASPUR VISHWAVIDYALAYA,2015,Associate Professor,2,2,0,2
636,BILASPUR VISHWAVIDYALAYA,2015,Vice-Chancellor,1,1,0,1
636,BILASPUR VISHWAVIDYALAYA,2015,Assistant Professor,15,15,0,3
636,BILASPUR VISHWAVIDYALAYA,2015,ALL,18,18,0,6
778,SEACOM SKILLS UNIVERSITY,2015,Vice-Chancellor,1,1,0,1
778,SEACOM SKILLS UNIVERSITY,2015,Professor & Equivalent,2,2,0,2
778,SEACOM SKILLS UNIVERSITY,2015,Associate Professor,6,3,0,3
778,SEACOM SKILLS UNIVERSITY,2015,Assistant Professor,54,38,0,14
778,SEACOM SKILLS UNIVERSITY,2015,ALL,63,44,0,20
165,Lala lajpat Rai University of Veterinary and Animal Sciences,2015,Vice-Chancellor,NA,1,0,0
165,Lala lajpat Rai University of Veterinary and Animal Sciences,2015,Director,NA,3,0,3
165,Lala lajpat Rai University of Veterinary and Animal Sciences,2015,Professor & Equivalent,NA,0,83,83
165,Lala lajpat Rai University of Veterinary and Animal Sciences,2015,Associate Professor,NA,0,4,4
165,Lala lajpat Rai University of Veterinary and Animal Sciences,2015,Assistant Professor,NA,53,0,45
165,Lala lajpat Rai University of Veterinary and Animal Sciences,2015,Demonstrator,NA,0,0,0
165,Lala lajpat Rai University of Veterinary and Animal Sciences,2015,ALL,0,57,87,135
649,SRI SRI UNIVERSITY,2015,Vice-Chancellor,1,1,0,1
649,SRI SRI UNIVERSITY,2015,Professor & Equivalent,6,4,0,3
649,SRI SRI UNIVERSITY,2015,Assistant Professor,23,20,0,4
649,SRI SRI UNIVERSITY,2015,Additional Professor,0,2,0,1
649,SRI SRI UNIVERSITY,2015,Associate Professor,12,4,0,4
649,SRI SRI UNIVERSITY,2015,Visiting Teacher,9,9,0,2
649,SRI SRI UNIVERSITY,2015,ALL,51,40,0,15
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,Associate Professor,NA,3,0,3
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,Director,NA,1,0,1
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,Professor & Equivalent,NA,1,0,1
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,Assistant Professor,NA,4,0,3
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,ALL,0,15,0,14
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,Ad hoc Teacher,NA,5,0,5
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,Vice-Chancellor,NA,1,0,1
152,"Shree Somnath Sanskrit University, Junagarh",2015,Vice-Chancellor,NA,1,0,1
152,"Shree Somnath Sanskrit University, Junagarh",2015,Assistant Professor,NA,12,0,8
152,"Shree Somnath Sanskrit University, Junagarh",2015,Professor & Equivalent,NA,3,0,3
152,"Shree Somnath Sanskrit University, Junagarh",2015,Associate Professor,NA,1,0,1
152,"Shree Somnath Sanskrit University, Junagarh",2015,Principal,NA,1,0,1
152,"Shree Somnath Sanskrit University, Junagarh",2015,Contract Teacher,NA,42,0,0
152,"Shree Somnath Sanskrit University, Junagarh",2015,Visiting Teacher,NA,2,0,0
152,"Shree Somnath Sanskrit University, Junagarh",2015,ALL,62,62,0,14
126,"Central Univeristy of Gujarat, Gandhinagar",2015,Professor & Equivalent,NA,7,0,7
126,"Central Univeristy of Gujarat, Gandhinagar",2015,Associate Professor,NA,9,0,6
126,"Central Univeristy of Gujarat, Gandhinagar",2015,Assistant Professor,NA,43,0,37
126,"Central Univeristy of Gujarat, Gandhinagar",2015,Contract Teacher,NA,18,0,NA
126,"Central Univeristy of Gujarat, Gandhinagar",2015,Ad hoc Teacher,NA,0,0,NA
126,"Central Univeristy of Gujarat, Gandhinagar",2015,ALL,0,77,0,50
142,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh",2015,Vice-Chancellor,NA,1,0,1
142,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh",2015,Associate Professor,NA,5,0,5
142,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh",2015,Assistant Professor,NA,34,0,16
142,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh",2015,Professor & Equivalent,NA,3,0,3
142,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh",2015,ALL,0,43,0,25
635,ICFAI UNIVERSITY,2015,Vice-Chancellor,NA,0,1,1
635,ICFAI UNIVERSITY,2015,Pro-Vice-Chancellor,NA,0,1,1
635,ICFAI UNIVERSITY,2015,Assistant Professor,NA,18,0,3
635,ICFAI UNIVERSITY,2015,Professor & Equivalent,NA,1,0,0
635,ICFAI UNIVERSITY,2015,Visiting Teacher,NA,4,0,1
635,ICFAI UNIVERSITY,2015,ALL,0,23,2,6
734,"LAKULISH YOGA UNIVERSITY, AHMEDABAD",2015,Vice-Chancellor,NA,1,0,1
734,"LAKULISH YOGA UNIVERSITY, AHMEDABAD",2015,Director,NA,2,0,0
734,"LAKULISH YOGA UNIVERSITY, AHMEDABAD",2015,Professor & Equivalent,NA,5,0,2
734,"LAKULISH YOGA UNIVERSITY, AHMEDABAD",2015,Associate Professor,NA,3,0,2
734,"LAKULISH YOGA UNIVERSITY, AHMEDABAD",2015,Assistant Professor,NA,4,0,0
734,"LAKULISH YOGA UNIVERSITY, AHMEDABAD",2015,Lecturer,NA,5,0,0
734,"LAKULISH YOGA UNIVERSITY, AHMEDABAD",2015,Visiting Teacher,NA,8,0,0
734,"LAKULISH YOGA UNIVERSITY, AHMEDABAD",2015,Demonstrator,NA,3,0,0
734,"LAKULISH YOGA UNIVERSITY, AHMEDABAD",2015,ALL,0,31,0,5
368,"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry",2015,Professor & Equivalent,NA,58,0,52
368,"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry",2015,Associate Professor,NA,73,0,72
368,"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry",2015,Assistant Professor,NA,104,0,104
368,"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry",2015,Visiting Teacher,NA,2,0,2
368,"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry",2015,Additional Professor,NA,13,0,12
368,"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry",2015,ALL,0,250,0,242
240,"Rajiv Gandhi University of Health Sciences, Bangalore",2015,Vice-Chancellor,1,1,0,NA
240,"Rajiv Gandhi University of Health Sciences, Bangalore",2015,Professor & Equivalent,3,3,0,NA
240,"Rajiv Gandhi University of Health Sciences, Bangalore",2015,Associate Professor,1,1,0,NA
240,"Rajiv Gandhi University of Health Sciences, Bangalore",2015,Assistant Professor,1,1,0,NA
240,"Rajiv Gandhi University of Health Sciences, Bangalore",2015,ALL,6,6,0,0
128,"Charotar University of Science & Technology, Anand",2015,Vice-Chancellor,1,1,0,1
128,"Charotar University of Science & Technology, Anand",2015,ALL,1,1,0,1
658,"GONDWANA UNIVERSITY, GADCHIROLI",2015,Visiting Teacher,0,0,0,NA
658,"GONDWANA UNIVERSITY, GADCHIROLI",2015,Assistant Professor,20,0,0,NA
658,"GONDWANA UNIVERSITY, GADCHIROLI",2015,Professor & Equivalent,5,0,0,NA
658,"GONDWANA UNIVERSITY, GADCHIROLI",2015,Vice-Chancellor,1,1,0,0
658,"GONDWANA UNIVERSITY, GADCHIROLI",2015,ALL,36,1,0,0
658,"GONDWANA UNIVERSITY, GADCHIROLI",2015,Associate Professor,10,0,0,NA
125,"Carlox Teacher's University, Ahmedabad",2015,Director,1,1,0,0
125,"Carlox Teacher's University, Ahmedabad",2015,Assistant Professor,16,16,0,2
125,"Carlox Teacher's University, Ahmedabad",2015,Visiting Teacher,6,6,0,1
125,"Carlox Teacher's University, Ahmedabad",2015,Principal,1,1,0,1
125,"Carlox Teacher's University, Ahmedabad",2015,Additional Professor,18,18,0,18
125,"Carlox Teacher's University, Ahmedabad",2015,Tutor,1,1,0,0
125,"Carlox Teacher's University, Ahmedabad",2015,ALL,43,43,0,22
578,"Netaji Subhash Open University, Kolkata",2015,Professor & Equivalent,NA,3,0,NA
578,"Netaji Subhash Open University, Kolkata",2015,ALL,0,34,2,0
578,"Netaji Subhash Open University, Kolkata",2015,Assistant Professor,NA,19,0,NA
578,"Netaji Subhash Open University, Kolkata",2015,Contract Teacher,NA,4,0,NA
578,"Netaji Subhash Open University, Kolkata",2015,Associate Professor,NA,3,2,NA
578,"Netaji Subhash Open University, Kolkata",2015,Vice-Chancellor,NA,1,0,NA
578,"Netaji Subhash Open University, Kolkata",2015,Director,NA,4,0,NA
593,Gujarat Forensic Sciences University,2015,Vice-Chancellor,NA,1,0,NA
593,Gujarat Forensic Sciences University,2015,Assistant Professor,NA,25,0,15
593,Gujarat Forensic Sciences University,2015,Director,NA,3,0,NA
593,Gujarat Forensic Sciences University,2015,Lecturer,NA,4,0,NA
593,Gujarat Forensic Sciences University,2015,Visiting Teacher,NA,29,0,NA
593,Gujarat Forensic Sciences University,2015,ALL,0,62,0,15
127,"Centre for Environmental Planning and Technology University, Ahmedabad",2015,Professor & Equivalent,NA,13,3,8
127,"Centre for Environmental Planning and Technology University, Ahmedabad",2015,Lecturer (Selection Grade),NA,0,1,0
127,"Centre for Environmental Planning and Technology University, Ahmedabad",2015,Assistant Professor,NA,32,0,3
127,"Centre for Environmental Planning and Technology University, Ahmedabad",2015,Director,NA,1,0,1
127,"Centre for Environmental Planning and Technology University, Ahmedabad",2015,Associate Professor,NA,17,5,6
127,"Centre for Environmental Planning and Technology University, Ahmedabad",2015,ALL,0,63,9,18
594,"Children University, Gandhinagar",2015,Director,NA,0,1,0
594,"Children University, Gandhinagar",2015,Assistant Professor,NA,6,0,5
594,"Children University, Gandhinagar",2015,Ad hoc Teacher,NA,3,0,NA
594,"Children University, Gandhinagar",2015,ALL,0,9,1,5
591,"West Bengal University of Animal and Fishery Sciences, Kolkata",2015,Assistant Professor,NA,31,1,32
591,"West Bengal University of Animal and Fishery Sciences, Kolkata",2015,Associate Professor,NA,5,23,28
591,"West Bengal University of Animal and Fishery Sciences, Kolkata",2015,Professor & Equivalent,NA,11,22,33
591,"West Bengal University of Animal and Fishery Sciences, Kolkata",2015,Part-Time Teacher,NA,22,0,15
591,"West Bengal University of Animal and Fishery Sciences, Kolkata",2015,Lecturer (Senior Scale),NA,0,3,3
591,"West Bengal University of Animal and Fishery Sciences, Kolkata",2015,Vice-Chancellor,NA,1,0,1
591,"West Bengal University of Animal and Fishery Sciences, Kolkata",2015,ALL,0,70,49,112
788,CHAUDHARY BANSI LAL UNIVERSITY,2015,Vice-Chancellor,1,1,0,1
788,CHAUDHARY BANSI LAL UNIVERSITY,2015,Assistant Professor,25,71,0,15
788,CHAUDHARY BANSI LAL UNIVERSITY,2015,ALL,26,72,0,16
123,"Anand Agricultural University, Anand",2015,Vice-Chancellor,NA,1,0,NA
123,"Anand Agricultural University, Anand",2015,Professor & Equivalent,NA,30,16,NA
123,"Anand Agricultural University, Anand",2015,Associate Professor,NA,84,40,NA
123,"Anand Agricultural University, Anand",2015,Assistant Professor,NA,201,33,NA
123,"Anand Agricultural University, Anand",2015,ALL,0,316,89,0
625,Karnataka Sanskrit University,2015,Vice-Chancellor,NA,1,0,NA
625,Karnataka Sanskrit University,2015,Professor & Equivalent,NA,3,0,NA
625,Karnataka Sanskrit University,2015,ALL,0,4,0,0
232,"Kuvempu University, Shankaraghatta, Shimoga",2015,Associate Professor,0,0,0,0
232,"Kuvempu University, Shankaraghatta, Shimoga",2015,Professor & Equivalent,0,0,0,0
232,"Kuvempu University, Shankaraghatta, Shimoga",2015,Principal,0,0,0,0
232,"Kuvempu University, Shankaraghatta, Shimoga",2015,ALL,0,0,0,0
782,SHRI GOVIND GURU UNIVERSITY,2015,Vice-Chancellor,1,1,0,1
782,SHRI GOVIND GURU UNIVERSITY,2015,ALL,1,1,0,1
783,BHAKTA KAVI NARSINH MEHTA UNIVERSITY,2015,Vice-Chancellor,NA,0,0,NA
783,BHAKTA KAVI NARSINH MEHTA UNIVERSITY,2015,ALL,0,0,0,0
494,"The Institute of Chartered Financial Analysts of India University, Agartala",2015,Principal,NA,4,0,2
494,"The Institute of Chartered Financial Analysts of India University, Agartala",2015,Associate Professor,NA,4,0,3
494,"The Institute of Chartered Financial Analysts of India University, Agartala",2015,Visiting Teacher,NA,9,0,NA
494,"The Institute of Chartered Financial Analysts of India University, Agartala",2015,Assistant Professor,NA,45,0,8
494,"The Institute of Chartered Financial Analysts of India University, Agartala",2015,ALL,0,62,0,13
378,"Indian Institute of Technology, Ropar",2015,Director,1,1,0,1
378,"Indian Institute of Technology, Ropar",2015,Assistant Professor,45,60,0,60
378,"Indian Institute of Technology, Ropar",2015,Professor & Equivalent,15,3,0,3
378,"Indian Institute of Technology, Ropar",2015,Associate Professor,30,2,0,2
378,"Indian Institute of Technology, Ropar",2015,ALL,91,66,0,66
57,"Aryabhatta Knoweledge University , Patna",2015,Vice-Chancellor,1,1,0,1
57,"Aryabhatta Knoweledge University , Patna",2015,Pro-Vice-Chancellor,1,1,0,1
57,"Aryabhatta Knoweledge University , Patna",2015,Professor & Equivalent,1,1,0,1
57,"Aryabhatta Knoweledge University , Patna",2015,Assistant Professor,4,2,0,2
57,"Aryabhatta Knoweledge University , Patna",2015,Associate Professor,2,0,0,0
57,"Aryabhatta Knoweledge University , Patna",2015,ALL,9,5,0,5
354,"Fakir Mohan University, Balasore",2015,Vice-Chancellor,1,1,0,1
354,"Fakir Mohan University, Balasore",2015,Professor & Equivalent,7,5,2,7
354,"Fakir Mohan University, Balasore",2015,Reader,14,8,1,9
354,"Fakir Mohan University, Balasore",2015,Lecturer,27,19,0,16
354,"Fakir Mohan University, Balasore",2015,Contract Teacher,13,13,0,0
354,"Fakir Mohan University, Balasore",2015,ALL,62,46,3,33
218,"Davangere University, Davangere",2015,Vice-Chancellor,NA,1,0,1
218,"Davangere University, Davangere",2015,Professor & Equivalent,NA,2,6,8
218,"Davangere University, Davangere",2015,Associate Professor,NA,2,5,7
218,"Davangere University, Davangere",2015,Temporary Teacher,NA,87,0,24
218,"Davangere University, Davangere",2015,Assistant Professor,NA,3,0,1
218,"Davangere University, Davangere",2015,ALL,0,95,11,41
250,"Yenepoya University, Mangalore",2015,Vice-Chancellor,NA,1,0,NA
250,"Yenepoya University, Mangalore",2015,Assistant Professor,NA,12,0,11
250,"Yenepoya University, Mangalore",2015,Professor & Equivalent,NA,6,0,6
250,"Yenepoya University, Mangalore",2015,ALL,0,19,0,17
670,SWARNIM GUJARAT SPORTS UNIVERSITY,2015,Vice-Chancellor,1,1,0,1
670,SWARNIM GUJARAT SPORTS UNIVERSITY,2015,Assistant Professor,5,4,0,1
670,SWARNIM GUJARAT SPORTS UNIVERSITY,2015,Associate Professor,4,1,0,1
670,SWARNIM GUJARAT SPORTS UNIVERSITY,2015,ALL,10,6,0,3
588,"Vidya Sagar University, Midnapore",2015,ALL,186,117,48,111
588,"Vidya Sagar University, Midnapore",2015,Vice-Chancellor,1,1,0,1
588,"Vidya Sagar University, Midnapore",2015,Temporary Teacher,2,2,0,2
588,"Vidya Sagar University, Midnapore",2015,Associate Professor,31,3,24,18
588,"Vidya Sagar University, Midnapore",2015,Professor & Equivalent,17,16,24,39
588,"Vidya Sagar University, Midnapore",2015,Contract Teacher,22,22,0,6
588,"Vidya Sagar University, Midnapore",2015,Assistant Professor,113,73,0,45
775,GLS UNIVERSITY,2015,Pro-Vice-Chancellor,NA,1,0,NA
775,GLS UNIVERSITY,2015,Director,NA,0,0,NA
775,GLS UNIVERSITY,2015,ALL,0,1,0,0
132,"Ganpat University, Ganpat Vidyanagar, Kherva",2015,Vice-Chancellor,1,1,0,1
132,"Ganpat University, Ganpat Vidyanagar, Kherva",2015,Assistant Professor,14,14,0,0
132,"Ganpat University, Ganpat Vidyanagar, Kherva",2015,Lecturer,12,12,0,NA
132,"Ganpat University, Ganpat Vidyanagar, Kherva",2015,Associate Professor,1,1,0,1
132,"Ganpat University, Ganpat Vidyanagar, Kherva",2015,ALL,28,28,0,2
572,"Indian Institute of Science Education & Research (IISER), Kolkata,",2015,Director,NA,1,0,1
572,"Indian Institute of Science Education & Research (IISER), Kolkata,",2015,Associate Professor,NA,40,0,40
572,"Indian Institute of Science Education & Research (IISER), Kolkata,",2015,Assistant Professor,NA,37,0,37
572,"Indian Institute of Science Education & Research (IISER), Kolkata,",2015,Professor & Equivalent,NA,6,0,6
572,"Indian Institute of Science Education & Research (IISER), Kolkata,",2015,ALL,95,84,0,84
153,"Veer Narmad South Gujarat University, Surat",2015,Assistant Professor,NA,58,0,33
153,"Veer Narmad South Gujarat University, Surat",2015,Visiting Teacher,NA,155,0,NA
153,"Veer Narmad South Gujarat University, Surat",2015,Professor & Equivalent,NA,9,33,42
153,"Veer Narmad South Gujarat University, Surat",2015,Associate Professor,NA,5,7,12
153,"Veer Narmad South Gujarat University, Surat",2015,ALL,0,288,40,92
153,"Veer Narmad South Gujarat University, Surat",2015,Director,NA,0,0,NA
153,"Veer Narmad South Gujarat University, Surat",2015,Ad hoc Teacher,NA,61,0,5
130,"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar",2015,Director,NA,1,0,1
130,"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar",2015,Professor & Equivalent,NA,11,0,10
130,"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar",2015,Associate Professor,NA,13,0,12
130,"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar",2015,Assistant Professor,NA,22,0,20
130,"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar",2015,Visiting Teacher,NA,24,0,5
130,"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar",2015,Tutor,NA,143,0,NA
130,"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar",2015,ALL,0,214,0,48
595,"Rakshashakti University, Gujarat",2015,Director,NA,1,0,1
595,"Rakshashakti University, Gujarat",2015,Assistant Professor,NA,8,0,2
595,"Rakshashakti University, Gujarat",2015,Professor & Equivalent,NA,1,0,1
595,"Rakshashakti University, Gujarat",2015,Vice-Chancellor,NA,1,0,0
595,"Rakshashakti University, Gujarat",2015,Pro-Vice-Chancellor,NA,1,0,0
595,"Rakshashakti University, Gujarat",2015,Visiting Teacher,NA,38,0,8
595,"Rakshashakti University, Gujarat",2015,Contract Teacher,NA,11,0,2
595,"Rakshashakti University, Gujarat",2015,ALL,0,61,0,14
765,INSTITUTE OF INFRASTRUCTURE TECHNOLOGY RESEARCH AND MANAGEMENT (IITRAM),2015,Director,1,1,0,NA
765,INSTITUTE OF INFRASTRUCTURE TECHNOLOGY RESEARCH AND MANAGEMENT (IITRAM),2015,Assistant Professor,0,23,0,NA
765,INSTITUTE OF INFRASTRUCTURE TECHNOLOGY RESEARCH AND MANAGEMENT (IITRAM),2015,Visiting Teacher,0,5,0,NA
765,INSTITUTE OF INFRASTRUCTURE TECHNOLOGY RESEARCH AND MANAGEMENT (IITRAM),2015,Contract Teacher,0,6,0,NA
765,INSTITUTE OF INFRASTRUCTURE TECHNOLOGY RESEARCH AND MANAGEMENT (IITRAM),2015,Associate Professor,20,3,0,NA
765,INSTITUTE OF INFRASTRUCTURE TECHNOLOGY RESEARCH AND MANAGEMENT (IITRAM),2015,ALL,21,38,0,30
663,INDUS UNIVERSITY,2015,Vice-Chancellor,1,1,0,1
663,INDUS UNIVERSITY,2015,Professor & Equivalent,14,21,0,NA
663,INDUS UNIVERSITY,2015,Assistant Professor,169,184,0,NA
